TransactionID,community,isFraud,TransactionAmt
2987000,30,0,68.5
2987001,30,0,29.0
2987002,30,0,59.0
2987003,30,0,50.0
2987004,30,0,50.0
2987005,30,0,49.0
2987006,30,0,159.0
2987007,30,0,422.5
2987008,30,0,15.0
2987009,30,0,117.0
2987010,30,0,75.887
2987011,30,0,16.495
2987012,30,0,50.0
2987013,30,0,40.0
2987014,30,0,10.5
2987015,30,0,57.95
2987016,30,0,30.0
2987017,30,0,100.0
2987018,30,0,47.95
2987019,30,0,186.0
2987020,30,0,39.0
2987021,30,0,159.95
2987022,30,0,50.0
2987023,30,0,107.95
2987024,30,0,73.95
2987025,30,0,107.95
2987026,30,0,184.0
2987027,30,0,47.95
2987028,30,0,20.0
2987029,30,0,36.99
2987030,30,0,35.0
2987031,30,0,363.89
2987032,30,0,200.0
2987033,30,0,40.0
2987034,30,0,107.95
2987035,30,0,107.95
2987036,30,0,77.0
2987037,30,0,21.95
2987038,30,0,25.0
2987039,30,0,39.95
2987040,30,0,75.887
2987041,30,0,774.0
2987042,30,0,117.0
2987043,30,0,49.0
2987044,30,0,39.5
2987045,30,0,36.95
2987046,30,0,49.0
2987047,30,0,15.0
2987048,30,0,42.294
2987049,30,0,3.595
2987050,30,0,117.0
2987051,30,0,226.0
2987052,30,0,117.0
2987053,30,0,130.95
2987054,30,0,34.0
2987055,30,0,210.95
2987056,30,0,500.0
2987057,30,0,50.0
2987058,30,0,380.21
2987059,30,0,35.95
2987060,30,0,2454.0
2987061,30,0,58.95
2987062,30,0,200.0
2987063,30,0,80.0
2987064,30,0,250.0
2987065,30,0,114.95
2987066,30,0,300.0
2987067,30,0,445.0
2987068,30,0,3.081
2987069,30,0,20.0
2987070,30,0,100.0
2987071,30,0,59.0
2987072,30,0,6.767
2987073,30,0,554.0
2987074,30,0,27.793
2987075,30,0,68.5
2987076,30,0,36.95
2987077,30,0,280.0
2987078,30,0,300.0
2987079,30,0,28.699
2987080,30,0,60.0
2987081,30,0,104.95
2987082,30,0,280.0
2987083,30,0,411.95
2987084,30,0,125.674
2987085,30,0,42.596
2987086,30,0,44.5
2987087,30,0,88.95
2987088,30,0,140.0
2987089,30,0,318.95
2987090,30,0,77.821
2987091,30,0,107.0
2987092,30,0,117.0
2987093,30,0,50.0
2987094,30,0,527.0
2987095,30,0,59.0
2987096,30,0,108.5
2987097,30,0,21.5
2987098,30,0,159.0
2987099,30,0,75.0
2987100,30,0,100.0
2987101,30,0,25.0
2987102,30,0,42.95
2987103,30,0,47.95
2987104,30,0,100.0
2987105,30,0,5.075
2987106,30,0,92.0
2987107,30,0,226.0
2987108,30,0,150.0
2987109,30,0,107.95
2987110,30,0,1153.95
2987111,30,0,18.186
2987112,30,0,210.95
2987113,30,0,11.782
2987114,30,0,4.433
2987115,30,0,75.0
2987116,30,0,34.0
2987117,30,0,200.0
2987118,30,0,11.782
2987119,30,0,100.0
2987120,30,0,59.0
2987121,30,0,50.0
2987122,30,0,80.0
2987123,30,0,59.0
2987124,30,0,58.95
2987125,30,0,50.0
2987126,30,0,87.95
2987127,30,0,107.95
2987128,30,0,57.95
2987129,30,0,50.0
2987130,30,0,70.933
2987131,30,0,444.61
2987132,30,0,757.07
2987133,30,0,2594.95
2987134,30,0,117.0
2987135,30,0,3000.0
2987136,30,0,30.0
2987137,30,0,56.95
2987138,30,0,100.0
2987139,30,0,129.299
2987140,30,0,208.43
2987141,30,0,200.0
2987142,30,0,23.806
2987143,30,0,100.0
2987144,30,0,200.0
2987145,30,0,100.0
2987146,30,0,23.806
2987147,30,0,25.95
2987148,30,0,30.0
2987149,30,0,43.95
2987150,30,0,117.0
2987151,30,0,49.0
2987152,30,0,587.82
2987153,30,0,29.0
2987154,30,0,35.95
2987155,30,0,479.95
2987156,30,0,50.0
2987157,30,0,30.0
2987158,30,0,171.0
2987159,30,0,92.95
2987160,30,0,29.0
2987161,30,0,107.95
2987162,30,0,100.0
2987163,30,0,973.95
2987164,30,0,34.0
2987165,30,0,39.0
2987166,30,0,26.5
2987167,30,0,100.0
2987168,30,0,36.95
2987169,30,0,100.0
2987170,30,0,20.0
2987171,30,0,34.0
2987172,30,0,159.95
2987173,30,0,25.0
2987174,30,0,107.95
2987175,30,0,117.0
2987176,30,0,39.0
2987177,30,0,306.47
2987178,30,0,445.0
2987179,30,0,424.95
2987180,30,0,83.95
2987181,30,0,171.0
2987182,30,0,311.95
2987183,30,0,200.0
2987184,30,0,112.99
2987185,30,0,359.91
2987186,30,0,117.0
2987187,30,0,50.0
2987188,30,0,12.0
2987189,30,0,57.399
2987190,30,0,32.325
2987191,30,0,26.5
2987192,30,0,5.982
2987193,30,0,28.699
2987194,30,0,1486.44
